Customer ID,Type of party,Package,Cost per guest,Number of guests,Cost of party,New customer,Total with discount
GRE112024,Birthday,Standard B,,100,,Yes,
SAN122023,Wedding,Premium W,,50,,No,
NUT032023,Birthday,Superior B,,30,,No,
MEE092024,Wedding,Premium W,,250,,Yes,
MAH122023,Religious Festival,Premium RF,,100,,No,
LAN012025,Anniversary,Standard A,,40,,Yes,
MAS082025,Birthday,Standard B,,75,,Yes,
WAP042023,Anniversary,Superior A,,55,,Yes,
MAR022023,Wedding,Superior W,,20,,Yes,
ROS052024,Wedding,Premium W,,200,,Yes,
THO032024,Birthday,Premium B,,50,,Yes,
ISA062024,Wedding,Standard W,,100,,No,
LEW112024,Wedding,Premium W,,50,,No,
BRI052024,Wedding,Superior W,,25,,Yes,
WHI092024,Anniversary,Premium A,,10,,No,
DAV122023,Religious Festival,Premium RF,,150,,No,
LYS012025,Children's ,Superior C,,25,,Yes,
PIP082025,Children's ,Standard C,,30,,Yes,
LUC042023,Religious Festival,Standard RF,,25,,Yes,
DAC022023,Wedding,Superior W,,120,,Yes,
,,,,,,,
Total cost of all parties including all discounts,,,,,,,
,,,,,,,
Number of Premium W packages,,,,,,,
,,,,,,,
Highest number of guests,,,,,,,
