Party ID,Customer ID,Party Date,Party Type,Number Of Guests,Catering,Entertainment,Venue Decoration,Deposit Paid
PA101,JA1202,12-Feb-24,Birthday,60,FALSE,TRUE,TRUE,£5.00
PA102,JO0106,01-Jun-25,Religious Festival,100,TRUE,FALSE,TRUE,£10.00
PA103,SM2308,23-Aug-25,Anniversary,50,FALSE,TRUE,TRUE,£0.00
PA104,PA2408,24-Aug-26,Wedding,250,TRUE,TRUE,FALSE,£25.00
PA105,GA1006,10-Jun-24,Religious Festival,250,TRUE,FALSE,TRUE,£50.00
PA106,CH0612,06-Dec-24,Wedding,30,TRUE,FALSE,TRUE,£0.00
PA107,RE1812,18-Dec-24,Wedding,50,TRUE,TRUE,TRUE,£0.00
PA108,MD0310,03-Oct-26,Religious Festival,20,TRUE,FALSE,TRUE,£0.00
PA109,JU1509,15-Sep-26,Birthday,100,TRUE,TRUE,TRUE,£10.00
PA110,ME2909,29-Sep-25,Birthday,25,FALSE,TRUE,TRUE,£0.00
PA111,NE1404,14-Apr-25,Wedding,200,TRUE,TRUE,FALSE,£20.00
PA112,KH2604,26-Apr-24,Anniversary,80,TRUE,FALSE,TRUE,£10.00
PA113,LA1002,10-Feb-24,Birthday,20,TRUE,TRUE,TRUE,£0.00
PA114,HA1201,12-Jan-24,Religious Festival,150,TRUE,TRUE,TRUE,£20.00
PA115,BH2311,23-Nov-25,Wedding,300,TRUE,FALSE,TRUE,£45.00
PA116,SU0611,06-Nov-26,Wedding,70,TRUE,FALSE,TRUE,£10.00
PA117,WA2310,23-Oct-25,Birthday,40,TRUE,TRUE,TRUE,£0.00
PA118,RI2205,22-May-24,Birthday,60,TRUE,FALSE,TRUE,£0.00
PA119,GO0405,04-May-25,Wedding,60,TRUE,TRUE,TRUE,£5.00
PA120,VI1105,11-May-26,Birthday,100,TRUE,FALSE,TRUE,£10.00
