BOOKING_ID,GUEST_ID,CANAL_ID,HOLIDAY DATE,HOLIDAY LENGTH (NIGHTS)
1,125,6,25/07/2023,7
2,101,2,02/06/2023,10
3,130,3,16/04/2023,7
4,102,1,06/07/2023,14
5,107,18,06/06/2023,3
6,119,17,25/09/2023,3
7,124,15,19/08/2023,4
8,103,12,06/09/2023,7
9,129,7,27/07/2023,7
10,127,12,07/07/2023,7
11,123,5,10/07/2023,7
12,111,1,05/08/2023,14
13,105,16,07/06/2023,3
14,122,2,25/08/2023,10
15,104,9,24/06/2023,7
16,110,8,21/07/2023,7
17,106,2,09/07/2023,10
18,120,16,16/09/2023,3
19,108,9,02/07/2023,7
20,128,13,25/08/2023,4
21,109,8,30/08/2023,7
22,114,18,11/10/2023,3
23,126,7,05/07/2023,7
24,118,16,10/09/2023,9
25,112,11,04/06/2023,7
26,113,13,20/06/2023,4
27,115,1,15/07/2023,14
28,116,2,14/06/2023,10
29,121,9,12/07/2023,7
30,117,18,19/09/2023,3
