BOOKING ID,CAR ID,CLIENT ID,BOOKING METHOD
1,SSUV1,AB11,Online
2,LSUV3,AD12,Online
3,PR1,AD13,Online
4,ST1,AH45,Online
5,LSUV2,AS32,Online
6,SSUV2,BA45,Telephone
7,ST2,BE45,Telephone
8,LSUV4,BR78,Online
9,LSUV4,CH54,Online
10,SSUV3,CH67,Telephone
11,SSUV2,DE4,Online
12,PR3,EG98,Telephone
13,ST4,GA54,Telephone
14,LSUV1,GR42,Online
15,LSUV1,HU21,Online
16,LSUV2,HU3,Online
17,LSUV2,HU4,Online
18,PR2,HU6,Online
19,ST3,HU78,Telephone
20,LSUV1,JO67,Online
21,ST3,KA67,Telephone
22,PR4,KE12,Telephone
23,LSUV3,KU7,Online
24,SSUV2,KU8,Online
25,SSUV2,KU9,Online
26,PR4,LI8,Online
27,PR4,LO1,Online
28,SSUV3,MA23,Telephone
29,SSUV1,MU2,Telephone
30,SSUV1,OL9,Online
31,PR4,PE10,Online
32,SSUV1,PL7,Online
33,SSUV4,PO1,Telephone
34,ST3,RA65,Online
35,ST3,RA9,Online
36,ST3,SA21,Telephone
37,PR4,TY2,Telephone
38,LSUV2,WA8,Online
