BOOKING ID,CLIENT ID,CLASS ID
BK01,BEL0300,FRBCP
BK02,BEL0300,WEPIL
BK03,BEL0300,MOBSK
BK04,BEL0300,SAST8
BK05,BEL0300,SUBCP
BK06,CHA0582,SAYOG
BK07,DAV0700,TUBCP
BK08,DAV0700,THS60
BK09,DAV0700,FRMFA
BK10,FLE0792,MOPIO
BK11,FLE0792,THST8
BK12,GRE0281,SAS60
BK13,GRE0281,FRMFA
BK14,GRE0281,MOS60
BK15,HAR1162,THHIT
BK16,HAR1162,TUHIT
BK17,HAR1162,MOPIO
BK18,HAR1162,SAYOG
BK19,HAR1162,FRMFA
BK20,HOL0300,TUST8
BK21,HOL0300,WEPIO
BK22,HOL0300,THST8
BK23,HUG1264,SAST8
BK24,HUG1264,WEPIL
BK25,HUG1264,MOS60
BK26,HUG1264,TUBCP
BK27,LAN0699,SAMFA
BK28,LAN0699,SUBSK
BK29,MAD0789,FRYOG
BK30,MAD0789,MOPIL
BK31,MAD0789,WEBSK
BK32,MAD0789,SAPIO
BK33,MAD0996,SUBSK
BK34,MAR0792,TUYOG
BK35,MAR0792,SUBCP
BK36,MAR0792,MOS60
BK37,MAR0792,SAMFA
BK38,MOR0985,SAPIO
BK39,MOR0985,FRYOG
BK40,PAT0198,MOBSK
BK41,PAT0198,WEBSK
BK42,PAT1297,MOS60
BK43,PAT1297,THPIL
BK44,PAT1297,SAMFA
BK45,PUG1167,FRMFA
BK46,PUG1167,MOPIL
BK47,PUG1167,WEBSK
BK48,RIZ0860,SAPIL
BK49,RIZ0860,WEMFA
BK50,RIZ0860,THS60
BK51,SAN0870,TUYOG
BK52,SAN0870,SAS60
BK53,SHI0199,THHIT
BK54,SHI0199,TUST8
BK55,SHI0199,WEPIO
BK56,SHI0199,THPIL
BK57,SHI0199,SAPIL
BK58,WIL0790,FRBCP
BK59,WIL0790,WEMFA
BK60,WIL0790,THHIT
BK61,WIL0898,SAST8
BK62,WIL0898,MOPIL
BK63,WOO0400,MOBSK
BK64,WOO0400,TUBCP
BK65,WOO0400,WEMFA
